Country,Year,GDP,Life Expectancy,log_GDP,LE_Class
Afghanistan,2020,20136.0,60.5,9.910314197878405,0
Albania,2020,15271.0,76.5,9.633776365405584,1
Algeria,2020,164774.0,74.0,12.01233618592092,1
Angola,2020,66521.0,62.6,11.105287999000407,0
Antigua and Barbuda,2020,1412.0,77.6,7.253470382684528,1
Argentina,2020,385218.0,76.2,12.86156728271563,1
Armenia,2020,12642.0,69.3,9.444858981311897,0
Australia,2020,1362613.0,83.4,14.12491547174419,1
Austria,2020,434050.0,81.1,12.980917317699342,1
Azerbaijan,2020,42693.0,71.4,10.661813674121044,0
Bahamas,2020,9958.0,72.6,9.20623194393164,1
Bahrain,2020,35838.0,74.9,10.486791964913891,1
Bangladesh,2020,373902.0,73.3,12.831751684468722,1
Barbados,2020,5168.0,76.9,8.550434525196039,1
Belarus,2020,61312.0,73.0,11.023747171218401,1
Belgium,2020,529269.0,80.8,13.17925397760763,1
Belize,2020,2043.0,74.7,7.622663951323595,1
Benin,2020,15674.0,64.4,9.659822365501121,0
Bhutan,2020,2586.0,74.5,7.8582541821860294,1
Bosnia and Herzegovina,2020,20226.0,75.7,9.914773624553096,1
Botswana,2020,14930.0,65.2,9.611194867526663,0
Brazil,2020,1476092.0,74.1,14.204909290287707,1
Bulgaria,2020,70658.0,73.5,11.165620768534476,1
Burkina Faso,2020,17837.0,62.9,9.789086292226152,0
Burundi,2020,3089.0,64.6,8.035926369891792,0
Cambodia,2020,34898.0,69.8,10.460213454484876,0
Cameroon,2020,40863.0,62.2,10.618004758832265,0
Canada,2020,1655685.0,81.3,14.319725982421854,1
Central African Republic,2020,2389.0,53.1,7.779048644925556,0
Chad,2020,14954.0,59.2,9.612800971064049,0
Chile,2020,254060.0,79.9,12.445329674647796,1
China,2020,15103357.0,77.5,16.530427661167433,1
Colombia,2020,270348.0,76.2,12.507468995894488,1
Comoros,2020,1218.0,68.3,7.105786129481271,0
Democratic Republic of the Congo,2020,49613.0,62.0,10.812028330950222,0
Costa Rica,2020,62382.0,80.0,11.041048081342682,1
Croatia,2020,57919.0,77.9,10.966818027059597,1
Cyprus,2020,25535.0,82.1,10.147844500249535,1
Denmark,2020,355631.0,81.4,12.781651767324547,1
Djibouti,2020,3144.0,65.3,8.05356916913454,0
Dominican Republic,2020,78625.0,73.6,11.272457712522815,1
Ecuador,2020,95865.0,72.7,11.470706662033818,1
Egypt,2020,382525.0,70.1,12.85455190379482,0
El Salvador,2020,24921.0,72.1,10.123506226502814,1
Equatorial Guinea,2020,9908.0,61.2,9.201198714058899,0
Eritrea,2020,1982.0,63.8,7.592366128519796,0
Estonia,2020,31795.0,78.6,10.367095774693004,1
Eswatini,2020,3984.0,56.0,8.290292591224315,0
Ethiopia,2020,96611.0,68.8,11.478458236087981,0
Fiji,2020,4432.0,67.7,8.396831834745054,0
Finland,2020,269784.0,81.5,12.505380624471911,1
France,2020,2645806.0,81.9,14.78848668070954,1
Gabon,2020,15364.0,65.1,9.639847474564585,0
Gambia,2020,1809.0,64.8,7.501082124259871,0
Georgia,2020,16013.0,73.1,9.68121861863258,1
Germany,2020,3936989.0,80.8,15.185927029917568,1
Ghana,2020,70008.0,66.2,11.15637908419547,0
Greece,2020,191210.0,80.6,12.161132809325325,1
Grenada,2020,1043.0,75.4,6.950814768442584,1
Guatemala,2020,77718.0,71.0,11.260855036707621,0
Guinea,2020,14089.0,61.2,9.553220604892726,0
Guinea-Bissau,2020,1523.0,58.4,7.329093736246592,0
Guyana,2020,5471.0,66.9,8.607399459302387,0
Haiti,2020,14508.0,63.4,9.582524425515684,0
Honduras,2020,23190.0,70.3,10.05151955135521,0
Hungary,2020,158468.0,75.8,11.973314269574292,1
Iceland,2020,21630.0,82.6,9.981882749963502,1
India,2020,2674852.0,70.2,14.799404983531229,0
Indonesia,2020,1059055.0,69.7,13.872888503260985,0
Iraq,2020,182576.0,70.4,12.114927280830612,0
Ireland,2020,436205.0,81.7,12.985869887813248,1
Israel,2020,410771.0,82.4,12.92579359502515,1
Italy,2020,1905956.0,81.9,14.460494802606014,1
Jamaica,2020,13885.0,72.6,9.538636417313219,1
Japan,2020,5054069.0,84.7,15.435704417249873,1
Jordan,2020,43762.0,77.6,10.686543990504708,1
Kazakhstan,2020,171082.0,71.3,12.04990409784293,0
Kenya,2020,100912.0,66.8,11.52201403847856,0
Kiribati,2020,222.0,61.9,5.407171771460119,0
Kuwait,2020,111048.0,78.8,11.617726824329305,1
Kyrgyzstan,2020,8283.0,71.5,9.022081222515475,0
Latvia,2020,33353.0,75.5,10.414932984181524,1
Lebanon,2020,24976.0,77.7,10.125710680390595,1
Lesotho,2020,2092.0,51.9,7.646353722445999,0
Liberia,2020,3037.0,63.5,8.018954683155718,0
Libya,2020,46893.0,72.6,10.755645014480681,1
Lithuania,2020,57352.0,74.9,10.956980431564268,1
Luxembourg,2020,73612.0,82.8,11.206576919554431,1
Madagascar,2020,13051.0,63.1,9.47669665771321,0
Malawi,2020,11847.0,63.5,9.379914355947635,0
Malaysia,2020,337456.0,76.8,12.7291933737703,1
Maldives,2020,3706.0,76.2,8.217978203150732,1
Mali,2020,17491.0,61.5,9.76949891253281,0
Malta,2020,16397.0,82.0,9.704914655156124,1
Mauritania,2020,8464.0,68.9,9.043695294567236,0
Mauritius,2020,11408.0,73.6,9.34215779659637,1
Mexico,2020,1121065.0,70.9,13.929790576324741,0
Mongolia,2020,13313.0,72.7,9.496571392160648,1
Montenegro,2020,4777.0,75.5,8.471777327885755,1
Morocco,2020,121354.0,72.5,11.70647541343736,1
Mozambique,2020,14235.0,58.6,9.563529246630083,0
Myanmar,2020,65631.0,68.9,11.091818660872107,0
Namibia,2020,10583.0,63.8,9.267098705794792,0
Nepal,2020,33434.0,71.0,10.417358534488079,0
New Zealand,2020,210541.0,82.5,12.257440437142737,1
Nicaragua,2020,12730.0,75.0,9.451795243061646,1
Niger,2020,13764.0,60.4,9.529884417576708,0
Nigeria,2020,432299.0,62.8,12.976875070655723,0
North Macedonia,2020,12385.0,74.4,9.424322081498007,1
Norway,2020,367633.0,82.8,12.814843157025518,1
Oman,2020,75909.0,73.9,11.237303707010813,1
Pakistan,2020,300410.0,65.8,12.612906816044577,0
Panama,2020,57087.0,77.3,10.952349215939682,1
Papua New Guinea,2020,23848.0,66.3,10.07949756671628,0
Paraguay,2020,35432.0,75.2,10.475398868279957,1
Peru,2020,206461.0,72.8,12.237871655079122,1
Philippines,2020,361751.0,69.6,12.798714173158475,0
Poland,2020,605930.0,76.4,13.314521397182613,1
Portugal,2020,229435.0,80.8,12.34337940248968,1
Puerto Rico,2020,103131.0,79.9,11.5437650001212,1
Qatar,2020,144411.0,77.3,11.880425604481117,1
Romania,2020,252372.0,74.1,12.438663430868532,1
Rwanda,2020,10174.0,68.3,9.227689010310796,0
Samoa,2020,869.0,70.2,6.76849321164863,0
Saudi Arabia,2020,734271.0,76.1,13.506634811158815,1
Senegal,2020,24534.0,68.6,10.107855948524003,0
Serbia,2020,55874.0,74.4,10.93087233191587,1
Seychelles,2020,1384.0,77.3,7.233455418621439,1
Sierra Leone,2020,6682.0,60.5,8.80732226751107,0
Singapore,2020,349166.0,84.0,12.763305596763802,1
Slovakia,2020,107646.0,76.9,11.58661263431315,1
Slovenia,2020,53342.0,80.3,10.884498039124058,1
Solomon Islands,2020,1536.0,65.4,7.337587743538596,0
Somalia,2020,8628.0,55.1,9.062883902508307,0
South Africa,2020,337876.0,64.3,12.730437202910101,0
South Sudan,2020,5423.0,58.9,8.598588829620232,0
Spain,2020,1288751.0,81.9,14.06918486620347,1
Sri Lanka,2020,84304.0,80.7,11.34219645421208,1
Saint Lucia,2020,1499.0,75.6,7.313220387090301,1
Saint Vincent and the Grenadines,2020,864.0,72.7,6.762729506931879,1
Sudan,2020,35237.0,68.4,10.469880324750575,0
Suriname,2020,2912.0,72.8,7.976938756959434,1
Sweden,2020,545148.0,82.1,13.208814430775329,1
Switzerland,2020,741288.0,82.7,13.516145841738007,1
Tajikistan,2020,8134.0,70.6,9.003931019653137,0
Thailand,2020,500462.0,76.5,13.123288948930819,1
Timor-Leste,2020,2163.0,68.9,7.679713639966372,0
Togo,2020,7400.0,63.8,8.909370405197466,0
Tonga,2020,503.0,73.2,6.222576268071369,1
Trinidad and Tobago,2020,20991.0,73.6,9.951896691743816,1
Tunisia,2020,42494.0,77.1,10.657141700932726,1
Turkmenistan,2020,52385.0,68.5,10.866394659038862,0
Uganda,2020,37889.0,66.3,10.542442504012646,0
Ukraine,2020,156566.0,72.5,11.961239312363233,1
United Arab Emirates,2020,349473.0,80.1,12.764184445900225,1
Uruguay,2020,53557.0,77.8,10.888520457808427,1
Uzbekistan,2020,66443.0,71.4,11.104114766610968,0
Vanuatu,2020,1008.0,67.1,6.9167150203536085,0
Yemen,2020,20220.0,66.5,9.91447694733573,0
Zambia,2020,18138.0,61.8,9.805819595357969,0
Zimbabwe,2020,26878.0,59.4,10.199100591564108,0
Afghanistan,2021,14278.0,59.1,9.566545205430295,0
